kw1	kw2	crit_p	edge_weight	iteration	pg	inv_edge_weight	R1C1
TLR4	myocardial reperfusion injury/drug therapy	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
TLR4	cyclohexylamines/pharmacology	0.0004765871781756	0.0028490028490028	0	0.0001652142691037	0.1776983102421431	2
TLR4	adaptor proteins vesicular transport/genetics	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
TLR4	ventricular function left/drug effects	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
TLR4	neutrophils/immunology	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
TLR4	neutrophil infiltration	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
TLR4	toll-like receptor 4/genetics	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
TLR4	myocardium/immunology	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
TLR4	inflammation/drug therapy	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
TLR4	TICAM1	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
TLR4	TRIM69	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
TLR4	phenylenediamines/pharmacology	0.0004765871781756	0.0028490028490028	0	0.0001652142691037	0.1776983102421431	2
cyclohexylamines/pharmacology	myocardial reperfusion injury/drug therapy	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
cyclohexylamines/pharmacology	ventricular function left/drug effects	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
cyclohexylamines/pharmacology	neutrophils/immunology	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
cyclohexylamines/pharmacology	myocardium/immunology	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
cyclohexylamines/pharmacology	inflammation/drug therapy	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
cyclohexylamines/pharmacology	neutrophil infiltration	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
cyclohexylamines/pharmacology	toll-like receptor 4/genetics	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
cyclohexylamines/pharmacology	adaptor proteins vesicular transport/genetics	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
cyclohexylamines/pharmacology	phenylenediamines/pharmacology	0.0004765871781756	0.0028490028490028	0	0.0001652142691037	0.1776983102421431	2
cyclohexylamines/pharmacology	TICAM1	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
cyclohexylamines/pharmacology	TRIM69	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
inflammation/drug therapy	myocardial reperfusion injury/drug therapy	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
inflammation/drug therapy	adaptor proteins vesicular transport/genetics	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
inflammation/drug therapy	ventricular function left/drug effects	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
inflammation/drug therapy	TICAM1	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
inflammation/drug therapy	neutrophils/immunology	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
inflammation/drug therapy	TRIM69	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
inflammation/drug therapy	phenylenediamines/pharmacology	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
inflammation/drug therapy	neutrophil infiltration	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
inflammation/drug therapy	toll-like receptor 4/genetics	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
inflammation/drug therapy	myocardium/immunology	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
myocardium/immunology	myocardial reperfusion injury/drug therapy	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
myocardium/immunology	adaptor proteins vesicular transport/genetics	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
myocardium/immunology	ventricular function left/drug effects	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
myocardium/immunology	TICAM1	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
myocardium/immunology	neutrophils/immunology	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
myocardium/immunology	TRIM69	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
myocardium/immunology	phenylenediamines/pharmacology	0.0027568588214042	0.074074074074074	0	0.0011488805723164	0.4895921776240851	1
myocardium/immunology	neutrophil infiltration	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
myocardium/immunology	toll-like receptor 4/genetics	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
TICAM1	myocardial reperfusion injury/drug therapy	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
TICAM1	adaptor proteins vesicular transport/genetics	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
TICAM1	ventricular function left/drug effects	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
TICAM1	neutrophils/immunology	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
TICAM1	neutrophil infiltration	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
TICAM1	toll-like receptor 4/genetics	3.515788297798302e-07	0.037037037037037	0	5.4635292179305857e-08	0.4895921776240851	1
