kw1	kw2	pg	R1C1	edge_weight	crit_p	iteration	inv_edge_weight
ferric compounds/chemistry	gels/chemistry	0.0001168032959434	1	0.1111111111111111	0.0003588236845719	0	0.4910900271113151
ferric compounds/chemistry	phenol/chemistry	0.0015625643362536	1	0.1111111111111111	0.0033615998331867	0	0.4910900271113151
ferric compounds/chemistry	urinary bladder neoplasms/pathology	0.0001168032959434	1	0.1111111111111111	0.0003588236845719	0	0.4910900271113151
ferric compounds/chemistry	ascorbic acid/pharmacology	1.9022900062282133e-05	1	0.1111111111111111	6.333686587901055e-05	0	0.4910900271113151
ferric compounds/chemistry	gold/chemistry	0.0001168032959434	1	0.1111111111111111	0.0003588236845719	0	0.4910900271113151
ferric compounds/chemistry	exosomes/metabolism	0.0015625643362536	1	0.1111111111111111	0.0033615998331867	0	0.4910900271113151
ferric compounds/chemistry	CALR	1.9022900062282133e-05	1	0.1111111111111111	6.333686587901055e-05	0	0.4910900271113151
ferric compounds/chemistry	CYREN	1.9022900062282133e-05	1	0.1111111111111111	6.333686587901055e-05	0	0.4910900271113151
ferric compounds/chemistry	interferon-gamma/metabolism	0.0015625643362536	1	0.1111111111111111	0.0033615998331867	0	0.4910900271113151
ferric compounds/chemistry	aniline compounds/chemistry	0.0015625643362536	1	0.1111111111111111	0.0033615998331867	0	0.4910900271113151
ferric compounds/chemistry	adjuvants immunologic/chemistry	0.0001168032959434	1	0.1111111111111111	0.0003588236845719	0	0.4910900271113151
ferric compounds/chemistry	dextrans/chemistry	0.0001168032959434	1	0.1111111111111111	0.0003588236845719	0	0.4910900271113151
ferric compounds/chemistry	neoplasms/diagnostic imaging	1.9022900062282133e-05	1	0.1111111111111111	6.333686587901055e-05	0	0.4910900271113151
ferric compounds/chemistry	b7-h1 antigen/metabolism	0.0015625643362536	1	0.1111111111111111	0.0033615998331867	0	0.4910900271113151
ferric compounds/chemistry	immunogenic cell death/drug effects	0.0015625643362536	1	0.1111111111111111	0.0033615998331867	0	0.4910900271113151
ferric compounds/chemistry	metal-organic frameworks/chemistry	0.0015625643362536	1	0.1111111111111111	0.0033615998331867	0	0.4910900271113151
ferric compounds/chemistry	programmed cell death 1 receptor/metabolism	0.0015625643362536	1	0.1111111111111111	0.0033615998331867	0	0.4910900271113151
ferric compounds/chemistry	t-lymphocytes cytotoxic/metabolism	1.9022900062282133e-05	1	0.1111111111111111	6.333686587901055e-05	0	0.4910900271113151
ferric compounds/chemistry	calreticulin/metabolism	1.9022900062282133e-05	1	0.1111111111111111	6.333686587901055e-05	0	0.4910900271113151
ferric compounds/chemistry	benzylidene compounds/chemistry	0.0015625643362536	1	0.1111111111111111	0.0033615998331867	0	0.4910900271113151
gels/chemistry	dextrans/chemistry	1.5187850976872141e-12	1	0.037037037037037	3.2149465571481167e-11	0	0.4910900271113151
gels/chemistry	adjuvants immunologic/chemistry	1.5187850976872141e-12	1	0.037037037037037	3.2149465571481167e-11	0	0.4910900271113151
gels/chemistry	macrophages/cytology	3.261067766935355e-06	1	0.074074074074074	1.5657444576345247e-05	0	0.4910900271113151
gels/chemistry	urinary bladder neoplasms/pathology	1.5187850976872141e-12	1	0.037037037037037	3.2149465571481167e-11	0	0.4910900271113151
gels/chemistry	gold/chemistry	1.5187850976872141e-12	1	0.037037037037037	3.2149465571481167e-11	0	0.4910900271113151
gels/chemistry	CHRM1	0.0004475609267244	1	0.074074074074074	0.0012601229975738	0	0.4910900271113151
gels/chemistry	MRLN	0.0004475609267244	1	0.074074074074074	0.0012601229975738	0	0.4910900271113151
phenol/chemistry	aniline compounds/chemistry	1.378057877254868e-06	1	0.037037037037037	6.671732627778158e-06	0	0.4910900271113151
phenol/chemistry	interferon-gamma/metabolism	1.378057877254868e-06	1	0.037037037037037	6.671732627778158e-06	0	0.4910900271113151
phenol/chemistry	b7-h1 antigen/metabolism	1.378057877254868e-06	1	0.037037037037037	6.671732627778158e-06	0	0.4910900271113151
phenol/chemistry	metal-organic frameworks/chemistry	1.378057877254868e-06	1	0.037037037037037	6.671732627778158e-06	0	0.4910900271113151
phenol/chemistry	programmed cell death 1 receptor/metabolism	1.378057877254868e-06	1	0.037037037037037	6.671732627778158e-06	0	0.4910900271113151
phenol/chemistry	immunogenic cell death/drug effects	1.378057877254868e-06	1	0.037037037037037	6.671732627778158e-06	0	0.4910900271113151
phenol/chemistry	benzylidene compounds/chemistry	1.378057877254868e-06	1	0.037037037037037	6.671732627778158e-06	0	0.4910900271113151
phenol/chemistry	cd8-positive t-lymphocytes/cytology	0.0004953033165658	1	0.074074074074074	0.0012925943513292	0	0.4910900271113151
phenol/chemistry	exosomes/metabolism	1.378057877254868e-06	1	0.037037037037037	6.671732627778158e-06	0	0.4910900271113151
urinary bladder neoplasms/pathology	dextrans/chemistry	1.5187850976872141e-12	1	0.037037037037037	3.2149465571481167e-11	0	0.4910900271113151
