entity	category	node_weight	occurrence
b7-h1 antigen/metabolism	MESH	0.037037037037037	1
interferon-gamma/metabolism	MESH	0.037037037037037	1
benzylidene compounds/chemistry	MESH	0.037037037037037	1
programmed cell death 1 receptor/metabolism	MESH	0.037037037037037	1
immunogenic cell death/drug effects	MESH	0.037037037037037	1
phenol/chemistry	MESH	0.037037037037037	1
aniline compounds/chemistry	MESH	0.037037037037037	1
exosomes/metabolism	MESH	0.037037037037037	1
cd8-positive t-lymphocytes/cytology	MESH	0.074074074074074	2
ferric compounds/chemistry	MESH	0.1111111111111111	3
metal-organic frameworks/chemistry	MESH	0.037037037037037	1
phospholipid hydroperoxide glutathione peroxidase/genetics	MESH	0.037037037037037	1
biomarkers tumor	MESH	0.037037037037037	1
spiro compounds/pharmacology	MESH	0.037037037037037	1
carcinoma pancreatic ductal/metabolism	MESH	0.037037037037037	1
proto-oncogene proteins p21(ras)/metabolism	MESH	0.037037037037037	1
cell transformation neoplastic/genetics	MESH	0.037037037037037	1
KDM8	GENE	0.037037037037037	1
STING1	GENE	0.037037037037037	1
tumor microenvironment	MESH	0.074074074074074	2
pancreatitis/genetics	MESH	0.037037037037037	1
pancreas/metabolism	MESH	0.037037037037037	1
quinoxalines/pharmacology	MESH	0.037037037037037	1
macrophages	MESH	0.037037037037037	1
diet	MESH	0.037037037037037	1
dna	MESH	0.037037037037037	1
membrane proteins/genetics	MESH	0.037037037037037	1
precursor cell lymphoblastic leukemia-lymphoma/metabolism	MESH	0.037037037037037	1
glutathione/metabolism	MESH	0.1111111111111111	3
flavonolignans/pharmacology	MESH	0.037037037037037	1
cell cycle/drug effects	MESH	0.037037037037037	1
jurkat cells	MESH	0.074074074074074	2
autophagy/drug effects	MESH	0.074074074074074	2
autophagy-related proteins/genetics	MESH	0.037037037037037	1
glutathione peroxidase/metabolism	MESH	0.037037037037037	1
ATG5	GENE	0.037037037037037	1
iron/metabolism	MESH	0.1481481481481481	4
host-pathogen interactions	MESH	0.037037037037037	1
iron chelating agents/pharmacology	MESH	0.037037037037037	1
tuberculosis/metabolism	MESH	0.037037037037037	1
cell survival	MESH	0.037037037037037	1
phospholipid hydroperoxide glutathione peroxidase/metabolism	MESH	0.074074074074074	2
lymph/metabolism	MESH	0.037037037037037	1
melanoma/blood	MESH	0.037037037037037	1
coenzyme a ligases/metabolism	MESH	0.037037037037037	1
oleic acid/metabolism	MESH	0.037037037037037	1
ACSL3	GENE	0.037037037037037	1
neoplasm metastasis/drug therapy	MESH	0.037037037037037	1
