entity	category	node_weight	occurrence	btw_cnt	cls_cnt	strength	qscore	Knode	ranking	repGM	repGT
b7-h1 antigen/antagonists &amp; inhibitors	MESH	0.074074074074074	2	1606.80329077004	0.273482829847877	8.14255956621896	0.751533459816906	0.543440347799452	23	3.9771314939100173	25.925925925925924
heme oxygenase-1/metabolism	MESH	0.037037037037037	1	343.636350514441	0.343131349531592	5.59800970177554	0.459374827313084	0.593054525257432	17	3.9771314939100173	25.925925925925924
lymphocytes tumor-infiltrating/immunology	MESH	0.037037037037037	1	343.636350514441	0.343131349531592	5.59800970177554	0.459374827313084	0.593054525257432	18	3.9771314939100173	25.925925925925924
liver cirrhosis/drug therapy	MESH	0.037037037037037	1	0.0	0.245480197429231	6.10691967466422	0.284366998839544	0.389348442605667	92	3.9771314939100173	25.925925925925924
sorafenib/pharmacology	MESH	0.037037037037037	1	0.0	0.245480197429231	6.10691967466422	0.284366998839544	0.389348442605667	88	3.9771314939100173	25.925925925925924
t-lymphocytes cytotoxic/drug effects	MESH	0.037037037037037	1	132.467285598743	0.281572527234984	5.59800970177554	0.341008307391921	0.520729192259377	35	3.9771314939100173	25.925925925925924
interferon-gamma/immunology	MESH	0.037037037037037	1	211.155620925442	0.270907951499544	4.07127978310948	0.16504264215587	0.521868822125492	25	3.9771314939100173	25.925925925925924
tumor escape/drug effects	MESH	0.037037037037037	1	132.467285598743	0.281572527234984	5.59800970177554	0.341008307391921	0.520729192259377	30	3.9771314939100173	25.925925925925924
hyaluronic acid/chemistry	MESH	0.037037037037037	1	132.467285598743	0.281572527234984	5.59800970177554	0.341008307391921	0.520729192259377	36	3.9771314939100173	25.925925925925924
myeloid-derived suppressor cells/immunology	MESH	0.037037037037037	1	343.636350514441	0.343131349531592	5.59800970177554	0.459374827313084	0.593054525257432	10	3.9771314939100173	25.925925925925924
fusion regulatory protein 1 heavy chain/metabolism	MESH	0.037037037037037	1	211.155620925442	0.270907951499544	4.07127978310948	0.16504264215587	0.521868822125492	28	3.9771314939100173	25.925925925925924
diterpenes/pharmacology	MESH	0.037037037037037	1	207.553919226553	0.365812659243586	5.08909972888685	0.311002228812467	0.639774601347148	1	3.9771314939100173	25.925925925925924
nivolumab/therapeutic use	MESH	0.037037037037037	1	211.155620925442	0.270907951499544	4.07127978310948	0.16504264215587	0.521868822125492	26	3.9771314939100173	25.925925925925924
cysteine/metabolism	MESH	0.037037037037037	1	211.155620925442	0.270907951499544	4.07127978310948	0.16504264215587	0.521868822125492	29	3.9771314939100173	25.925925925925924
asparaginase	MESH	0.037037037037037	1	207.553919226553	0.365812659243586	5.08909972888685	0.311002228812467	0.639774601347148	5	3.9771314939100173	25.925925925925924
cell line	MESH	0.037037037037037	1	0.0	0.245480197429231	6.10691967466422	0.284366998839544	0.389348442605667	90	3.9771314939100173	25.925925925925924
t-lymphocytes/immunology	MESH	0.037037037037037	1	343.636350514441	0.343131349531592	5.59800970177554	0.459374827313084	0.593054525257432	16	3.9771314939100173	25.925925925925924
drug resistance neoplasm/drug effects	MESH	0.037037037037037	1	132.467285598743	0.281572527234984	5.59800970177554	0.341008307391921	0.520729192259377	37	3.9771314939100173	25.925925925925924
