kw1	kw2	pg	crit_p	edge_weight	inv_edge_weight	R1C1	iteration
acetaminophen/pharmacology	brain neoplasms/genetics	8.95173934978288e-11	1.62258564362361e-09	0.037037037037037	0.493907099155766	1	0
acetaminophen/pharmacology	cation transport proteins/genetics	8.95173934978288e-11	1.62258564362361e-09	0.037037037037037	0.493907099155766	1	0
acetaminophen/pharmacology	gene expression regulation neoplastic	5.91722888355628e-05	0.0002025099171756	0.074074074074074	0.493907099155766	1	0
acetaminophen/pharmacology	glioblastoma/genetics	8.95173934978288e-11	1.62258564362361e-09	0.037037037037037	0.493907099155766	1	0
acetaminophen/pharmacology	heat-shock proteins/genetics	8.95173934978288e-11	1.62258564362361e-09	0.037037037037037	0.493907099155766	1	0
acetaminophen/pharmacology	hyaluronan receptors/genetics	8.95173934978288e-11	1.62258564362361e-09	0.037037037037037	0.493907099155766	1	0
acetaminophen/pharmacology	t-lymphocytes cytotoxic/immunology	8.95173934978288e-11	1.62258564362361e-09	0.037037037037037	0.493907099155766	1	0
brain neoplasms/genetics	cation transport proteins/genetics	8.95173934978288e-11	1.62258564362361e-09	0.037037037037037	0.493907099155766	1	0
brain neoplasms/genetics	gene expression regulation neoplastic	5.91722888355628e-05	0.0002025099171756	0.074074074074074	0.493907099155766	1	0
brain neoplasms/genetics	glioblastoma/genetics	8.95173934978288e-11	1.62258564362361e-09	0.037037037037037	0.493907099155766	1	0
brain neoplasms/genetics	heat-shock proteins/genetics	8.95173934978288e-11	1.62258564362361e-09	0.037037037037037	0.493907099155766	1	0
brain neoplasms/genetics	hyaluronan receptors/genetics	8.95173934978288e-11	1.62258564362361e-09	0.037037037037037	0.493907099155766	1	0
brain neoplasms/genetics	t-lymphocytes cytotoxic/immunology	8.95173934978288e-11	1.62258564362361e-09	0.037037037037037	0.493907099155766	1	0
cation transport proteins/genetics	gene expression regulation neoplastic	5.91722888355628e-05	0.0002025099171756	0.074074074074074	0.493907099155766	1	0
cation transport proteins/genetics	glioblastoma/genetics	8.95173934978288e-11	1.62258564362361e-09	0.037037037037037	0.493907099155766	1	0
cation transport proteins/genetics	heat-shock proteins/genetics	8.95173934978288e-11	1.62258564362361e-09	0.037037037037037	0.493907099155766	1	0
cation transport proteins/genetics	hyaluronan receptors/genetics	8.95173934978288e-11	1.62258564362361e-09	0.037037037037037	0.493907099155766	1	0
cation transport proteins/genetics	t-lymphocytes cytotoxic/immunology	8.95173934978288e-11	1.62258564362361e-09	0.037037037037037	0.493907099155766	1	0
gene expression regulation neoplastic	antioxidants/pharmacology	0.0013976759169542	0.0031599581438861	0.074074074074074	0.493907099155766	1	0
gene expression regulation neoplastic	cell proliferation/drug effects	0.0013976759169542	0.0031599581438861	0.074074074074074	0.493907099155766	1	0
gene expression regulation neoplastic	cystine/antagonists &amp; inhibitors	0.0013976759169542	0.0031599581438861	0.074074074074074	0.493907099155766	1	0
gene expression regulation neoplastic	folic acid antagonists/pharmacology	0.0013976759169542	0.0031599581438861	0.074074074074074	0.493907099155766	1	0
gene expression regulation neoplastic	glioblastoma/genetics	5.91722888355628e-05	0.0002025099171756	0.074074074074074	0.493907099155766	1	0
gene expression regulation neoplastic	heat-shock proteins/genetics	5.91722888355628e-05	0.0002025099171756	0.074074074074074	0.493907099155766	1	0
gene expression regulation neoplastic	hyaluronan receptors/genetics	5.91722888355628e-05	0.0002025099171756	0.074074074074074	0.493907099155766	1	0
gene expression regulation neoplastic	methotrexate/pharmacology	0.0013976759169542	0.0031599581438861	0.074074074074074	0.493907099155766	1	0
gene expression regulation neoplastic	phospholipid hydroperoxide glutathione peroxidase/antagonists &amp; inhibitors	0.0013976759169542	0.0031599581438861	0.074074074074074	0.493907099155766	1	0
gene expression regulation neoplastic	t-lymphocytes cytotoxic/immunology	5.91722888355628e-05	0.0002025099171756	0.074074074074074	0.493907099155766	1	0
gene expression regulation neoplastic	tetrahydrofolate dehydrogenase/genetics	0.0013976759169542	0.0031599581438861	0.074074074074074	0.493907099155766	1	0
gene expression regulation neoplastic	vitamin e/pharmacology	0.0013976759169542	0.0031599581438861	0.074074074074074	0.493907099155766	1	0
glioblastoma/genetics	heat-shock proteins/genetics	8.95173934978288e-11	1.62258564362361e-09	0.037037037037037	0.493907099155766	1	0
glioblastoma/genetics	hyaluronan receptors/genetics	8.95173934978288e-11	1.62258564362361e-09	0.037037037037037	0.493907099155766	1	0
glioblastoma/genetics	t-lymphocytes cytotoxic/immunology	8.95173934978288e-11	1.62258564362361e-09	0.037037037037037	0.493907099155766	1	0
heat-shock proteins/genetics	hyaluronan receptors/genetics	8.95173934978288e-11	1.62258564362361e-09	0.037037037037037	0.493907099155766	1	0
heat-shock proteins/genetics	t-lymphocytes cytotoxic/immunology	8.95173934978288e-11	1.62258564362361e-09	0.037037037037037	0.493907099155766	1	0
hyaluronan receptors/genetics	t-lymphocytes cytotoxic/immunology	8.95173934978288e-11	1.62258564362361e-09	0.037037037037037	0.493907099155766	1	0
antioxidants/pharmacology	carbolines/pharmacology	0.0013976759169542	0.0031599581438861	0.074074074074074	0.493907099155766	1	0
antioxidants/pharmacology	cell proliferation/drug effects	3.30906160772582e-05	0.0001185545205579	0.037037037037037	0.493907099155766	1	0
antioxidants/pharmacology	cystine/antagonists &amp; inhibitors	3.30906160772582e-05	0.0001185545205579	0.037037037037037	0.493907099155766	1	0
antioxidants/pharmacology	dose-response relationship drug	0.0013976759169542	0.0031599581438861	0.074074074074074	0.493907099155766	1	0
antioxidants/pharmacology	folic acid antagonists/pharmacology	3.30906160772582e-05	0.0001185545205579	0.037037037037037	0.493907099155766	1	0
antioxidants/pharmacology	jurkat cells	0.0017126733464574	0.0034866153733621	0.074074074074074	0.493907099155766	1	0
antioxidants/pharmacology	methotrexate/pharmacology	3.30906160772582e-05	0.0001185545205579	0.037037037037037	0.493907099155766	1	0
antioxidants/pharmacology	oxidative stress	0.000691672330896	0.0017891355113136	0.074074074074074	0.493907099155766	1	0
antioxidants/pharmacology	phospholipid hydroperoxide glutathione peroxidase/antagonists &amp; inhibitors	3.30906160772582e-05	0.0001185545205579	0.037037037037037	0.493907099155766	1	0
antioxidants/pharmacology	piperazines/pharmacology	0.0008897971359305	0.0022149883943255	0.074074074074074	0.493907099155766	1	0
antioxidants/pharmacology	tetrahydrofolate dehydrogenase/genetics	3.30906160772582e-05	0.0001185545205579	0.037037037037037	0.493907099155766	1	0
antioxidants/pharmacology	vitamin e/pharmacology	3.30906160772582e-05	0.0001185545205579	0.037037037037037	0.493907099155766	1	0
cell proliferation/drug effects	carbolines/pharmacology	0.0013976759169542	0.0031599581438861	0.074074074074074	0.493907099155766	1	0
cell proliferation/drug effects	cystine/antagonists &amp; inhibitors	3.30906160772582e-05	0.0001185545205579	0.037037037037037	0.493907099155766	1	0
cell proliferation/drug effects	dose-response relationship drug	0.0013976759169542	0.0031599581438861	0.074074074074074	0.493907099155766	1	0
cell proliferation/drug effects	folic acid antagonists/pharmacology	3.30906160772582e-05	0.0001185545205579	0.037037037037037	0.493907099155766	1	0
cell proliferation/drug effects	jurkat cells	0.0017126733464574	0.0034866153733621	0.074074074074074	0.493907099155766	1	0
cell proliferation/drug effects	methotrexate/pharmacology	3.30906160772582e-05	0.0001185545205579	0.037037037037037	0.493907099155766	1	0
cell proliferation/drug effects	oxidative stress	0.000691672330896	0.0017891355113136	0.074074074074074	0.493907099155766	1	0
cell proliferation/drug effects	phospholipid hydroperoxide glutathione peroxidase/antagonists &amp; inhibitors	3.30906160772582e-05	0.0001185545205579	0.037037037037037	0.493907099155766	1	0
cell proliferation/drug effects	piperazines/pharmacology	0.0008897971359305	0.0022149883943255	0.074074074074074	0.493907099155766	1	0
cell proliferation/drug effects	tetrahydrofolate dehydrogenase/genetics	3.30906160772582e-05	0.0001185545205579	0.037037037037037	0.493907099155766	1	0
cell proliferation/drug effects	vitamin e/pharmacology	3.30906160772582e-05	0.0001185545205579	0.037037037037037	0.493907099155766	1	0
cystine/antagonists &amp; inhibitors	carbolines/pharmacology	0.0013976759169542	0.0031599581438861	0.074074074074074	0.493907099155766	1	0
cystine/antagonists &amp; inhibitors	dose-response relationship drug	0.0013976759169542	0.0031599581438861	0.074074074074074	0.493907099155766	1	0
