entity	category	node_weight	occurrence	btw_cnt	cls_cnt	strength	qscore	Knode	ranking	repGM	repGT
cyclohexylamines/pharmacology	MESH	0.074074074074074	2	0.0	2.25705466263082	7.24028127664077	1.0	0.0481049562682214	1	4.11522633744856	7.4074074074074066
myocardial reperfusion injury/drug therapy	MESH	0.037037037037037	1	0.0	2.03628651528965	6.61582964755291	0.785714285714286	-0.0065597667638485	12	4.11522633744856	7.4074074074074066
ventricular function left/drug effects	MESH	0.037037037037037	1	0.0	2.03628651528965	6.61582964755291	0.785714285714286	-0.0065597667638485	4	4.11522633744856	7.4074074074074066
neutrophils/immunology	MESH	0.037037037037037	1	0.0	2.03628651528965	6.61582964755291	0.785714285714286	-0.0065597667638485	11	4.11522633744856	7.4074074074074066
neutrophil infiltration	MESH	0.037037037037037	1	0.0	2.03628651528965	6.61582964755291	0.785714285714286	-0.0065597667638485	7	4.11522633744856	7.4074074074074066
adaptor proteins vesicular transport/genetics	MESH	0.037037037037037	1	0.0	2.03628651528965	6.61582964755291	0.785714285714286	-0.0065597667638485	10	4.11522633744856	7.4074074074074066
myocardium/immunology	MESH	0.037037037037037	1	0.0	2.03628651528965	6.61582964755291	0.785714285714286	-0.0065597667638485	9	4.11522633744856	7.4074074074074066
phenylenediamines/pharmacology	MESH	0.074074074074074	2	0.0	2.25705466263082	7.24028127664077	1.0	0.0481049562682214	3	4.11522633744856	7.4074074074074066
toll-like receptor 4/genetics	MESH	0.037037037037037	1	0.0	2.03628651528965	6.61582964755291	0.785714285714286	-0.0065597667638485	8	4.11522633744856	7.4074074074074066
inflammation/drug therapy	MESH	0.037037037037037	1	0.0	2.03628651528965	6.61582964755291	0.785714285714286	-0.0065597667638485	5	4.11522633744856	7.4074074074074066
