kw1	kw2	crit_p	iteration	R1C1	edge_weight	pg	inv_edge_weight
acetaminophen/pharmacology	brain neoplasms/genetics	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
acetaminophen/pharmacology	cation transport proteins/genetics	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
acetaminophen/pharmacology	CD44	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
acetaminophen/pharmacology	gene expression regulation neoplastic	6.33368658790105e-05	0	1	0.074074074074074	1.62808224802857e-05	0.491090027111315
acetaminophen/pharmacology	glioblastoma/genetics	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
acetaminophen/pharmacology	heat-shock proteins/genetics	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
acetaminophen/pharmacology	HSPB1	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
acetaminophen/pharmacology	hyaluronan receptors/genetics	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
acetaminophen/pharmacology	SLC40A1	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
acetaminophen/pharmacology	t-lymphocytes cytotoxic/immunology	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
brain neoplasms/genetics	cation transport proteins/genetics	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
brain neoplasms/genetics	CD44	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
brain neoplasms/genetics	gene expression regulation neoplastic	6.33368658790105e-05	0	1	0.074074074074074	1.62808224802857e-05	0.491090027111315
brain neoplasms/genetics	glioblastoma/genetics	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
brain neoplasms/genetics	heat-shock proteins/genetics	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
brain neoplasms/genetics	HSPB1	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
brain neoplasms/genetics	hyaluronan receptors/genetics	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
brain neoplasms/genetics	SLC40A1	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
brain neoplasms/genetics	t-lymphocytes cytotoxic/immunology	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
cation transport proteins/genetics	CD44	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
cation transport proteins/genetics	gene expression regulation neoplastic	6.33368658790105e-05	0	1	0.074074074074074	1.62808224802857e-05	0.491090027111315
cation transport proteins/genetics	glioblastoma/genetics	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
cation transport proteins/genetics	heat-shock proteins/genetics	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
cation transport proteins/genetics	HSPB1	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
cation transport proteins/genetics	hyaluronan receptors/genetics	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
cation transport proteins/genetics	SLC40A1	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
cation transport proteins/genetics	t-lymphocytes cytotoxic/immunology	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
CD44	gene expression regulation neoplastic	6.33368658790105e-05	0	1	0.074074074074074	1.62808224802857e-05	0.491090027111315
CD44	glioblastoma/genetics	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
CD44	heat-shock proteins/genetics	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
CD44	HSPB1	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
CD44	hyaluronan receptors/genetics	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
CD44	SLC40A1	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
CD44	t-lymphocytes cytotoxic/immunology	3.21494655714812e-11	0	1	0.037037037037037	1.51878509768721e-12	0.491090027111315
CD44	lipoproteins ldl	7.719142717563565e-13	1	1	0.0294117647058823	1.2612133559741778e-13	0.5011717509037003
CD44	nitric oxide synthase type ii/metabolism	7.719142717563565e-13	1	1	0.0294117647058823	1.2612133559741778e-13	0.5011717509037003
CD44	mannose receptor	7.719142717563565e-13	1	1	0.0294117647058823	1.2612133559741778e-13	0.5011717509037003
CD44	colorectal neoplasms/metabolism	7.719142717563565e-13	1	1	0.0294117647058823	1.2612133559741778e-13	0.5011717509037003
CD44	hyperlipidemias	7.719142717563565e-13	1	1	0.0294117647058823	1.2612133559741778e-13	0.5011717509037003
CD44	diet high-fat/adverse effects	0.0004320658416946	1	1	0.0869183494293239	0.0002328224195095	0.5011717509037003
CD44	scavenger receptors class e/genetics	7.719142717563565e-13	1	1	0.0294117647058823	1.2612133559741778e-13	0.5011717509037003
CD44	PROM1	7.719142717563565e-13	1	1	0.0294117647058823	1.2612133559741778e-13	0.5011717509037003
CD44	MRC1	5.513139538360779e-06	1	1	0.0583845478489903	2.2707950212419448e-06	0.5011717509037003
gene expression regulation neoplastic	antioxidants/pharmacology	0.0020021417991653	0	1	0.074074074074074	0.000860920973641	0.491090027111315
gene expression regulation neoplastic	biopterins/analogs &amp; derivatives	0.0020021417991653	0	1	0.074074074074074	0.000860920973641	0.491090027111315
gene expression regulation neoplastic	cell proliferation/drug effects	0.0020021417991653	0	1	0.074074074074074	0.000860920973641	0.491090027111315
gene expression regulation neoplastic	cystine/antagonists &amp; inhibitors	0.0020021417991653	0	1	0.074074074074074	0.000860920973641	0.491090027111315
gene expression regulation neoplastic	folic acid antagonists/pharmacology	0.0020021417991653	0	1	0.074074074074074	0.000860920973641	0.491090027111315
gene expression regulation neoplastic	glioblastoma/genetics	6.33368658790105e-05	0	1	0.074074074074074	1.62808224802857e-05	0.491090027111315
gene expression regulation neoplastic	heat-shock proteins/genetics	6.33368658790105e-05	0	1	0.074074074074074	1.62808224802857e-05	0.491090027111315
gene expression regulation neoplastic	HSPB1	6.33368658790105e-05	0	1	0.074074074074074	1.62808224802857e-05	0.491090027111315
gene expression regulation neoplastic	hyaluronan receptors/genetics	6.33368658790105e-05	0	1	0.074074074074074	1.62808224802857e-05	0.491090027111315
gene expression regulation neoplastic	methotrexate/pharmacology	0.0020021417991653	0	1	0.074074074074074	0.000860920973641	0.491090027111315
gene expression regulation neoplastic	phospholipid hydroperoxide glutathione peroxidase/antagonists &amp; inhibitors	0.0020021417991653	0	1	0.074074074074074	0.000860920973641	0.491090027111315
gene expression regulation neoplastic	SLC40A1	6.33368658790105e-05	0	1	0.074074074074074	1.62808224802857e-05	0.491090027111315
gene expression regulation neoplastic	t-lymphocytes cytotoxic/immunology	6.33368658790105e-05	0	1	0.074074074074074	1.62808224802857e-05	0.491090027111315
