c1	c2	weight	query
1	10	4.64916654090697	antioxidants/pharmacology_biopterins/analogs &amp; derivatives_cystine/antagonists &amp; inhibitors_gene expression regulation neoplastic
1	10	4.53513510981225	antioxidants/pharmacology_biopterins/analogs &amp; derivatives_cell proliferation/drug effects_gene expression regulation neoplastic
1	11	6.56197624830244	colorectal neoplasms/metabolism_hyperlipidemias_lipoproteins ldl_macrophages/metabolism
1	11	5.1649992529202	CD44_colorectal neoplasms/metabolism_hyperlipidemias_macrophages/metabolism
1	8	6.4936506426019	colorectal neoplasms/metabolism_cytokines/metabolism_hyperlipidemias_lipoproteins ldl
1	8	5.44593803072725	cancer-associated fibroblasts/pathology_cytokines/metabolism_FAM126A_hyperlipidemias
10	2	8.69754148942842	glutathione/metabolism_GPX4_iron/metabolism_jurkat cells
10	2	7.92900835024696	glutathione/metabolism_GPX4_inflammation mediators/antagonists &amp; inhibitors_iron/metabolism
10	3	8.05969111791392	antineoplastic agents/pharmacology_ATG5_jurkat cells_reactive oxygen species/metabolism
10	3	7.67298062800563	antineoplastic agents/pharmacology_autophagy/drug effects_jurkat cells_reactive oxygen species/metabolism
10	4	3.54128565343384	carbolines/pharmacology_dose-response relationship drug_jurkat cells_ROS1
10	4	3.08228619380386	antioxidants/pharmacology_biopterins/analogs &amp; derivatives_jurkat cells_ROS1
10	6	5.69498708571923	apoptosis/drug effects_bone marrow/drug effects_cell proliferation/drug effects_drug interactions
10	6	4.94240540521886	apoptosis/drug effects_bone marrow/drug effects_cell proliferation/drug effects_phenotype
10	7	6.18019668401351	cell survival/drug effects_gene expression_NFE2L2_raw 264.7 cells
10	7	6.11263605049003	cell survival/drug effects_gene expression_inflammation mediators/antagonists &amp; inhibitors_NFE2L2
10	8	8.24531397335595	ascorbic acid/pharmacology_CALR_calreticulin/metabolism_oxidative stress
10	8	6.81273514221002	ascorbic acid/pharmacology_CALR_ferric compounds/chemistry_oxidative stress
11	2	7.23411899676021	cells cultured_host-pathogen interactions_iron chelating agents/pharmacology_tuberculosis/metabolism
11	2	6.28424481782658	cells cultured_host-pathogen interactions_iron chelating agents/pharmacology_phospholipid hydroperoxide glutathione peroxidase/metabolism
11	5	15.2080842698999	CD36_cd36 antigens/metabolism_interferon type i/metabolism_toll-like receptor 4/metabolism
11	5	14.2476435092415	CD36_cd36 antigens/metabolism_IFNA1_toll-like receptor 4/metabolism
11	6	6.53007645009324	anti-inflammatory agents/pharmacology_calgranulin a/metabolism_colon/metabolism_HMGB1
11	6	6.35631567094607	anti-inflammatory agents/pharmacology_calgranulin a/metabolism_HMGB1_phenotype
12	5	13.7673352914324	CD36_cd36 antigens/metabolism_interferon type i/metabolism_tumor microenvironment
12	5	12.806894530774	CD36_cd36 antigens/metabolism_IFNA1_tumor microenvironment
12	8	5.20551161579413	antibodies monoclonal humanized/pharmacology_PDCD1_RPL17_tumor microenvironment
12	8	5.09315086808123	antibodies monoclonal humanized/pharmacology_cd36 antigens/antagonists &amp; inhibitors_fatty acids/metabolism_tumor microenvironment
2	3	8.17733628749978	glutathione/metabolism_GPX4_iron/metabolism_S100A4
