kw1	kw2	pg	iteration	R1C1	inv_edge_weight	crit_p	edge_weight
porphyrins/pharmacology	apoptosis	4.0086966293984005e-05	0	1	0.6431935215825413	8.39827114146965e-05	0.1228101724887232
porphyrins/pharmacology	esters	0.0	0	1	0.6431935215825413	0.0	0.0254237288135593
porphyrins/pharmacology	iron	0.0001190696848334	0	1	0.6431935215825413	0.0002366340025258	0.0991023393127427
porphyrins/pharmacology	bone neoplasms/drug therapy	0.0	0	1	0.6431935215825413	0.0	0.0254237288135593
porphyrins/pharmacology	ferric compounds	4.157156320294675e-07	0	1	0.6431935215825413	1.0523544285088806e-06	0.0504128639721861
porphyrins/pharmacology	tissue distribution	4.0086966293984005e-05	0	1	0.6431935215825413	8.39827114146965e-05	0.0991023393127427
porphyrins/pharmacology	neoplasms/diagnostic imaging	1.4421568432787524e-05	0	1	0.6431935215825413	3.147169859962992e-05	0.0991023393127427
porphyrins/pharmacology	photosensitizing agents/pharmacology	1.887485931095778e-05	0	2	0.3223370757289844	4.064391932050256e-05	0.0368205727644652
porphyrins/pharmacology	ferroptosis	0.0001087479227059	0	3	0.1299847034619319	0.0002175404874163	0.0430097858502306
porphyrins/pharmacology	osteosarcoma/drug therapy	0.0	0	1	0.6431935215825413	0.0	0.0254237288135593
porphyrins/pharmacology	ferritins	0.0	0	1	0.6431935215825413	0.0	0.0254237288135593
porphyrins/pharmacology	photosensitizing agents/therapeutic use	4.0086966293984005e-05	0	1	0.6431935215825413	8.39827114146965e-05	0.0991023393127427
porphyrins/pharmacology	SDHD	7.771561172376097e-16	0	1	0.6431935215825413	5.694859788419355e-15	0.0254237288135593
apoptosis	esters	5.927480728473711e-13	0	1	0.6431935215825413	2.7404756726615176e-12	0.0423728813559322
apoptosis	carcinoma hepatocellular/drug therapy	4.0086966293984005e-05	0	1	0.6431935215825413	8.39827114146965e-05	0.122810172488723
apoptosis	sorafenib/pharmacology	8.665466092794283e-06	0	1	0.6431935215825413	1.940570600651955e-05	0.0832971171954222
apoptosis	doxorubicin	0.0	0	1	0.6431935215825413	0.0	0.0423728813559322
apoptosis	hemin/pharmacology	4.157156320294675e-07	0	1	0.6431935215825413	1.0523544285088806e-06	0.0832971171954222
apoptosis	mitochondria	1.8543679924931662e-09	0	1	0.6431935215825413	6.288333491593041e-09	0.0832971171954222
apoptosis	glutathione	2.5289116018401003e-05	0	1	0.6431935215825413	5.414493073711252e-05	0.1609488606413867
apoptosis	bone neoplasms/drug therapy	5.927480728473711e-13	0	1	0.6431935215825413	2.7404756726615176e-12	0.0423728813559322
apoptosis	oxides	0.0	0	1	0.6431935215825413	0.0	0.0423728813559322
apoptosis	manganese compounds	0.0	0	1	0.6431935215825413	0.0	0.0423728813559322
apoptosis	coordination complexes/pharmacology	6.8833827526759706e-15	0	1	0.6431935215825413	4.639380934134164e-14	0.0423728813559322
apoptosis	tissue distribution	0.0006545726870674	0	1	0.6431935215825413	0.001162439032099	0.1609488606413867
apoptosis	photosensitizing agents/pharmacology	1.0079526691075813e-07	0	3	0.1299847034619319	2.70918552485452e-07	0.0117492547214349
apoptosis	ferroptosis	6.023435883406593e-08	0	5	0.0123899221684959	1.6583165570531257e-07	0.0048619757917651
apoptosis	iridium/pharmacology	6.8833827526759706e-15	0	1	0.6431935215825413	4.639380934134164e-14	0.0423728813559322
apoptosis	hypoxia	6.8833827526759706e-15	0	1	0.6431935215825413	4.639380934134164e-14	0.0423728813559322
apoptosis	osteosarcoma/drug therapy	5.927480728473711e-13	0	1	0.6431935215825413	2.7404756726615176e-12	0.0423728813559322
esters	bone neoplasms/drug therapy	0.0	0	1	0.6431935215825413	0.0	0.0084745762711864
esters	photosensitizing agents/pharmacology	0.0001097950475641	0	1	0.6431935215825413	0.0002188266939795	0.1186440677966107
esters	osteosarcoma/drug therapy	0.0	0	1	0.6431935215825413	0.0	0.0084745762711864
iron	dna catalytic	2.786690866951602e-07	0	1	0.6431935215825413	7.200182711906234e-07	0.0338983050847457
iron	cd8-positive t-lymphocytes/metabolism	2.786690866951602e-07	0	1	0.6431935215825413	7.200182711906234e-07	0.0338983050847457
iron	deferoxamine	0.0	0	1	0.6431935215825413	0.0	0.0338983050847457
iron	hydrogen peroxide	2.786690866951602e-07	0	1	0.6431935215825413	7.200182711906234e-07	0.0338983050847457
