carbolines/pharmacology	antioxidants/pharmacology	0.06060606060606061	32778843
carbolines/pharmacology	cell proliferation/drug effects	0.11931818181818181	32778843
triple negative breast neoplasms/drug therapy	HLF	0.030303030303030304	34991659
triple negative breast neoplasms/drug therapy	IL6	0.030303030303030304	34991659
carbolines/pharmacology	piperazines/pharmacology	0.11931818181818181	32778843
triple negative breast neoplasms/drug therapy	JAK2	0.030303030303030304	34991659
carbolines/pharmacology	raw 264.7 cells	0.06060606060606061	34717678
carbolines/pharmacology	dose-response relationship drug	0.001893939393939394	32778843
carbolines/pharmacology	dose-response relationship drug	0.001893939393939394	34717678
ferric compounds/chemistry	PDCD1	0.3302785923753666	34985903
triple negative breast neoplasms/drug therapy	SMAD3	0.030303030303030304	34991659
carbolines/pharmacology	microglia/drug effects	0.06060606060606061	34717678
triple negative breast neoplasms/drug therapy	STAT3	0.030303030303030304	34991659
carbolines/pharmacology	methotrexate/pharmacology	0.06060606060606061	32778843
hmgb1 protein/metabolism	endothelial cells/metabolism	0.030303030303030304	35197507
triple negative breast neoplasms/drug therapy	TGFB1	0.06060606060606061	34991659
carbolines/pharmacology	cell survival/drug effects	0.28409090909090906	34717678
glutathione peroxidase/metabolism	jurkat cells	0.06060606060606061	33926261
iron/metabolism	tumor microenvironment	0.23106060606060605	33311482
cell proliferation/drug effects	phenols/chemistry	0.06060606060606061	23521677
iron/metabolism	biomarkers tumor	0.12121212121212122	33311482
carbolines/pharmacology	vitamin e/pharmacology	0.06060606060606061	32778843
collagen type i/metabolism	cell line	0.030303030303030304	34811833
pancreatitis/genetics	iron/metabolism	0.12121212121212122	33311482
protein kinase inhibitors/chemistry	apoptosis/drug effects	0.1818181818181818	31509699
tumor-associated macrophages/drug effects	triple negative breast neoplasms/drug therapy	0.030303030303030304	34991659
proto-oncogene proteins p21(ras)/metabolism	KDM8	0.030303030303030304	33311482
hemodynamics/drug effects	ferroptosis/drug effects	0.8181818181818182	35197507
hmgb1 protein/metabolism	hemodynamics/drug effects	0.030303030303030304	35197507
iron/metabolism	malaria/genetics	0.12121212121212122	31980600
pancreatitis/genetics	cell transformation neoplastic/genetics	0.030303030303030304	33311482
cell proliferation/drug effects	aldehydes/chemistry	0.06060606060606061	23521677
cell proliferation/drug effects	proto-oncogene proteins c-akt/metabolism	0.06060606060606061	23521677
iron/metabolism	macrophages	0.12121212121212122	33311482
carbolines/pharmacology	jurkat cells	0.11931818181818181	32778843
iron/metabolism	dna	0.12121212121212122	33311482
cell proliferation/drug effects	chemokine ccl3/genetics	0.06060606060606061	23521677
carbolines/pharmacology	phospholipid hydroperoxide glutathione peroxidase/antagonists &amp; inhibitors	0.06060606060606061	32778843
cytokines/metabolism	cell line tumor	0.7102272727272727	33691090
collagen type i/metabolism	hepatic stellate cells/drug effects	0.030303030303030304	34811833
pancreatitis/genetics	proto-oncogene proteins p21(ras)/metabolism	0.030303030303030304	33311482
cell proliferation/drug effects	cyclopentane monoterpenes	0.06060606060606061	23521677
drug resistance neoplasm/drug effects	immunologic memory	0.06060606060606061	34593794
proto-oncogene proteins p21(ras)/metabolism	STING1	0.030303030303030304	33311482
carbolines/pharmacology	cystine/antagonists &amp; inhibitors	0.06060606060606061	32778843
drug resistance neoplasm/drug effects	aniline compounds/pharmacology	0.06060606060606061	34593794
cell proliferation/drug effects	AKT1	0.06060606060606061	23521677
iron/metabolism	coenzyme a ligases/metabolism	0.12121212121212122	32814895
cell proliferation/drug effects	CCL3	0.06060606060606061	23521677
iron/metabolism	neoplasm metastasis/drug therapy	0.12121212121212122	32814895
cell proliferation/drug effects	MAPK3	0.06060606060606061	23521677
drug resistance neoplasm/drug effects	cell line tumor	0.7102272727272727	24280212
immunologic memory	aniline compounds/pharmacology	0.030303030303030304	34593794
hemodynamics/drug effects	FTH1	0.030303030303030304	35197507
drug resistance neoplasm/drug effects	t-lymphocytes cytotoxic/drug effects	0.06060606060606061	34593794
piperazines/pharmacology	phospholipid hydroperoxide glutathione peroxidase	0.06060606060606061	34396451
iron/metabolism	transferrin/metabolism	0.12121212121212122	31980600
pancreatitis/genetics	tumor microenvironment	0.06060606060606061	33311482
hemodynamics/drug effects	GPX4	0.3333333333333333	35197507
phospholipid hydroperoxide glutathione peroxidase/genetics	pancreatitis/genetics	0.030303030303030304	33311482
immunologic memory	t-lymphocytes cytotoxic/drug effects	0.030303030303030304	34593794
pancreatitis/genetics	biomarkers tumor	0.030303030303030304	33311482
collagen type i/metabolism	liver cirrhosis/drug therapy	0.030303030303030304	34811833
hemodynamics/drug effects	HMGB1	0.030303030303030304	35197507
hmgb1 protein/metabolism	inflammation/metabolism	0.030303030303030304	35197507
phospholipid hydroperoxide glutathione peroxidase/genetics	iron/metabolism	0.12121212121212122	33311482
piperazines/pharmacology	dose-response relationship drug	0.11931818181818181	32778843
immunologic memory	immune checkpoint inhibitors/pharmacology	0.030303030303030304	34593794
phospholipid hydroperoxide glutathione peroxidase/genetics	cell transformation neoplastic/genetics	0.030303030303030304	33311482
drug resistance neoplasm/drug effects	immune checkpoint inhibitors/pharmacology	0.06060606060606061	34593794
cell line tumor	piperazines/pharmacology	0.7102272727272727	34396451
protein kinase inhibitors/chemistry	ferroptosis/drug effects	0.8181818181818182	31509699
iron/metabolism	diet	0.12121212121212122	33311482
pancreatitis/genetics	macrophages	0.030303030303030304	33311482
hemodynamics/drug effects	NLRP3	0.030303030303030304	35197507
hmgb1 protein/metabolism	monocrotaline/toxicity	0.030303030303030304	35197507
carbolines/pharmacology	lipopolysaccharides/toxicity	0.06060606060606061	34717678
cell line tumor	gels/chemistry	0.45454545454545453	33236624
hemodynamics/drug effects	NOX4	0.030303030303030304	35197507
piperazines/pharmacology	methotrexate/pharmacology	0.06060606060606061	32778843
pancreatitis/genetics	dna	0.030303030303030304	33311482
protein kinase inhibitors/chemistry	mitochondria/drug effects	0.06060606060606061	31509699
carbolines/pharmacology	inflammation mediators/antagonists &amp; inhibitors	0.06060606060606061	34717678
cell line tumor	sulfasalazine/administration &amp; dosage	0.45454545454545453	31554642
iron/metabolism	ferritins/blood	0.12121212121212122	31980600
hmgb1 protein/metabolism	cyclohexylamines/pharmacology	0.06060606060606061	35197507
cytokines/metabolism	tumor microenvironment	0.11931818181818181	33691090
genetic variation	iron/metabolism	0.12121212121212122	31980600
collagen type i/metabolism	actins/metabolism	0.030303030303030304	34811833
phospholipid hydroperoxide glutathione peroxidase/genetics	proto-oncogene proteins p21(ras)/metabolism	0.030303030303030304	33311482
iron/metabolism	lymph/metabolism	0.12121212121212122	32814895
microglia/drug effects	cell survival/drug effects	0.1515151515151515	34717678
hemodynamics/drug effects	TLR4	0.06060606060606061	35197507
glutathione peroxidase/metabolism	cell cycle/drug effects	0.030303030303030304	33926261
carbolines/pharmacology	oxidative stress	0.11931818181818181	32778843
iron/metabolism	phospholipid hydroperoxide glutathione peroxidase/metabolism	0.011363636363636364	30787033
iron/metabolism	phospholipid hydroperoxide glutathione peroxidase/metabolism	0.011363636363636364	32814895
piperazines/pharmacology	iron/blood	0.06060606060606061	34396451
glutathione peroxidase/metabolism	autophagy-related proteins/genetics	0.030303030303030304	33926261
cytokines/metabolism	radiation-protective agents/pharmacology	0.06060606060606061	32134361
iron/metabolism	membrane proteins/genetics	0.12121212121212122	33311482
protein kinase inhibitors/chemistry	energy metabolism/drug effects	0.030303030303030304	31509699
carbolines/pharmacology	tetrahydrofolate dehydrogenase/genetics	0.06060606060606061	32778843
piperazines/pharmacology	vitamin e/pharmacology	0.06060606060606061	32778843
carbolines/pharmacology	reactive oxygen species/metabolism	0.384469696969697	32778843
cell line tumor	antineoplastic agents/chemistry	0.08339442815249266	31738155
cell line tumor	antineoplastic agents/chemistry	0.08339442815249266	23521677
cell line tumor	antineoplastic agents/chemistry	0.08339442815249266	31509699
phospholipid hydroperoxide glutathione peroxidase/genetics	tumor microenvironment	0.06060606060606061	33311482
glutathione peroxidase/metabolism	reactive oxygen species/metabolism	0.2121212121212121	33926261
cell line tumor	protein kinase inhibitors/chemistry	0.45454545454545453	31509699
phospholipid hydroperoxide glutathione peroxidase/genetics	biomarkers tumor	0.030303030303030304	33311482
hmgb1 protein/metabolism	heart ventricles/diagnostic imaging	0.030303030303030304	35197507
cytokines/metabolism	drug interactions	0.06060606060606061	32134361
iron/metabolism	pancreas/metabolism	0.12121212121212122	33311482
cell line tumor	phospholipid hydroperoxide glutathione peroxidase	0.45454545454545453	34396451
hmgb1 protein/metabolism	nlr family pyrin domain-containing 3 protein/metabolism	0.030303030303030304	35197507
iron/metabolism	macrophages/drug effects	0.06239002932551319	31980600
iron/metabolism	macrophages/drug effects	0.06239002932551319	30787033
drug resistance neoplasm/drug effects	cell survival/drug effects	0.28409090909090906	24280212
phospholipid hydroperoxide glutathione peroxidase/genetics	macrophages	0.030303030303030304	33311482
piperazines/pharmacology	jurkat cells	0.11931818181818181	32778843
cell line tumor	benzylidene compounds/chemistry	0.45454545454545453	34985903
pancreatitis/genetics	diet	0.030303030303030304	33311482
phospholipid hydroperoxide glutathione peroxidase/genetics	dna	0.030303030303030304	33311482
piperazines/pharmacology	phospholipid hydroperoxide glutathione peroxidase/antagonists &amp; inhibitors	0.06060606060606061	32778843
cell line tumor	ascorbic acid/pharmacology	0.45454545454545453	32686685
genetic variation	malaria/genetics	0.030303030303030304	31980600
piperazines/pharmacology	spleen/pathology	0.06060606060606061	34396451
iron/metabolism	cells cultured	0.23106060606060605	30787033
cell line tumor	metal-organic frameworks/chemistry	0.45454545454545453	34985903
carbolines/pharmacology	folic acid antagonists/pharmacology	0.06060606060606061	32778843
dose-response relationship drug	microglia/drug effects	0.06060606060606061	34717678
cytokines/metabolism	ileum/drug effects	0.06060606060606061	32134361
glutathione peroxidase/metabolism	glutathione/metabolism	0.09090909090909091	33926261
immunologic memory	tumor escape/drug effects	0.030303030303030304	34593794
carbolines/pharmacology	gene expression regulation neoplastic	0.11931818181818181	32778843
cell line tumor	tumor microenvironment	0.7102272727272727	33691090
immune checkpoint inhibitors/pharmacology	tumor escape/drug effects	0.030303030303030304	34593794
raw 264.7 cells	dose-response relationship drug	0.06060606060606061	34717678
dose-response relationship drug	methotrexate/pharmacology	0.06060606060606061	32778843
piperazines/pharmacology	cystine/antagonists &amp; inhibitors	0.06060606060606061	32778843
immunologic memory	tumor microenvironment/drug effects	0.1818181818181818	34593794
cell line tumor	cell survival/drug effects	0.11617706542623117	34093872
cell line tumor	cell survival/drug effects	0.11617706542623117	31554642
cell line tumor	cell survival/drug effects	0.11617706542623117	24280212
cell line tumor	cell survival/drug effects	0.11617706542623117	23826077
raw 264.7 cells	microglia/drug effects	0.030303030303030304	34717678
carbolines/pharmacology	antineoplastic agents/pharmacology	0.384469696969697	32778843
hmgb1 protein/metabolism	hypertension pulmonary/chemically induced	0.030303030303030304	35197507
carbolines/pharmacology	nf-e2-related factor 2/biosynthesis	0.06060606060606061	34717678
immunologic memory	b7-h1 antigen/antagonists &amp; inhibitors	0.06060606060606061	34593794
cell line tumor	autophagy/drug effects	0.7102272727272727	33277233
iron/metabolism	iron chelating agents/pharmacology	0.12121212121212122	30787033
collagen type i/metabolism	amino acid transport system y+/metabolism	0.06060606060606061	34811833
dose-response relationship drug	cell survival/drug effects	0.28409090909090906	34717678
pancreatitis/genetics	membrane proteins/genetics	0.030303030303030304	33311482
immunologic memory	benzylidene compounds/pharmacology	0.030303030303030304	34593794
cell line tumor	macrophages/cytology	0.19886363636363635	33236624
cell line tumor	macrophages/cytology	0.19886363636363635	31509699
iron/metabolism	liver x receptors/agonists	0.12121212121212122	31980600
raw 264.7 cells	cell survival/drug effects	0.1515151515151515	34717678
cytokines/metabolism	necroptosis/drug effects	0.06060606060606061	32134361
iron/metabolism	listeriosis/etiology	0.12121212121212122	31980600
carbolines/pharmacology	ferroptosis/drug effects	0.6647727272727273	32778843
