entity	category	node_weight	occurrence	btw_cnt	cls_cnt	strength	qscore	Knode	ranking	repGM	repGT
CD274	GENE	0.0338983050847457	4	5887.24086997301	0.685448390186804	10.3114378415424	0.935240181861932	4.38576737042894	457	1.1994115873673663	27.11864406779661
IDO1	GENE	0.0084745762711864	1	0.0	0.53643474878541	3.21125830575713	0.155915578576766	3.99240903037231	481	1.1994115873673663	27.11864406779661
SRF	GENE	0.0084745762711864	1	79.5878441982854	0.483772748015599	3.56806478417459	0.304751712870911	8.14398783064724	285	1.1994115873673663	27.11864406779661
IFNG	GENE	0.0254237288135593	3	4503.91956417717	0.593884148927375	6.42251661151426	0.83846772457289	7.97614400893977	292	1.1994115873673663	27.11864406779661
GPX4	GENE	0.186440677966102	22	10501.0	0.604534787535496	3.36649603676894	0.429154899254062	9.02909269185312	239	1.1994115873673663	27.11864406779661
MMP2	GENE	0.0084745762711864	1	79.5878441982854	0.483772748015599	3.56806478417459	0.304751712870911	8.14398783064724	287	1.1994115873673663	27.11864406779661
PDCD1	GENE	0.0084745762711864	1	0.0	0.570963138470721	1.78403239208729	0.0661845721305455	4.88272541994068	428	1.1994115873673663	27.11864406779661
VDAC1	GENE	0.0084745762711864	1	0.0	0.451807505341977	2.49764534892221	0.107549929712136	9.13848301736025	234	1.1994115873673663	27.11864406779661
ACSL4	GENE	0.0423728813559322	5	10562.4095238095	0.603136576520381	8.8373526030156	0.921036967616925	8.84801757370891	254	1.1994115873673663	27.11864406779661
NOC2L	GENE	0.0084745762711864	1	0.0	0.53643474878541	3.21125830575713	0.155915578576766	3.99240903037231	477	1.1994115873673663	27.11864406779661
TFRC	GENE	0.0254237288135593	3	4239.2533022533	0.52967797466804	6.22211247279995	0.820291029748863	7.31522879638768	319	1.1994115873673663	27.11864406779661
NOX1	GENE	0.0084745762711864	1	84.35	0.492237707050406	1.78403239208729	0.107344131913223	11.9834943474141	128	1.1994115873673663	27.11864406779661
SLC39A14	GENE	0.0084745762711864	1	0.0	0.451807505341977	2.49764534892221	0.107549929712136	9.13848301736025	235	1.1994115873673663	27.11864406779661
TF	GENE	0.059322033898305	7	1922.48865578866	0.516118495120957	7.61338835390589	0.811894479553197	7.61639482731366	307	1.1994115873673663	27.11864406779661
MCU	GENE	0.0084745762711864	1	1779.4880952381	0.58282623548678	1.42722591366984	0.0625625308696698	3.56426182690238	517	1.1994115873673663	27.11864406779661
GLRX5	GENE	0.0084745762711864	1	158.710989010989	0.526008275002118	3.21125830575713	0.29709286863135	9.39872396262194	222	1.1994115873673663	27.11864406779661
