entity	category	node_weight	occurrence	btw_cnt	cls_cnt	strength	qscore	Knode	ranking	repGM	repGT
CD36	GENE	0.037037037037037	1	794.293356554503	0.472777827128866	4.59367040138323	0.33287419651056	0.220442474303021	113	4.84048404840484	29.629629629629626
S100A4	GENE	0.037037037037037	1	390.430004169538	0.518466357516556	4.08326257900732	0.196306499336802	0.24731402304077	90	4.84048404840484	29.629629629629626
ATM	GENE	0.037037037037037	1	302.011801227668	0.445642883772844	4.59367040138323	0.271655953474135	0.468932355861034	34	4.84048404840484	29.629629629629626
PDCD1	GENE	0.111111111111111	3	0.0	0.426145739459173	3.37434080163743	0.022191613100704	0.218006403389089	118	4.84048404840484	29.629629629629626
ATL1	GENE	0.037037037037037	1	390.430004169538	0.518466357516556	4.08326257900732	0.196306499336802	0.24731402304077	92	4.84048404840484	29.629629629629626
CD8A	GENE	0.111111111111111	3	5679.04552537972	0.529380169722635	8.67693298039055	0.95959595959596	0.301170164916686	77	4.84048404840484	29.629629629629626
ACSL4	GENE	0.037037037037037	1	390.430004169538	0.518466357516556	4.08326257900732	0.196306499336802	0.24731402304077	91	4.84048404840484	29.629629629629626
SLC3A2	GENE	0.037037037037037	1	760.139802121238	0.494873282080486	4.59367040138323	0.311830425466789	0.415171756230812	63	4.84048404840484	29.629629629629626
SLC9A1	GENE	0.074074074074074	2	1828.08627105218	0.489583802858413	7.76949724802669	0.844888276706458	0.44862491022632	45	4.84048404840484	29.629629629629626
AIFM2	GENE	0.037037037037037	1	390.430004169538	0.518466357516556	4.08326257900732	0.196306499336802	0.24731402304077	89	4.84048404840484	29.629629629629626
SLC7A11	GENE	0.148148148148148	4	2499.73273732709	0.481712729495788	7.25908942565078	0.802443628201204	0.437089456055528	46	4.84048404840484	29.629629629629626
