entity	category	node_weight	occurrence	repGM	repGT
ventricular function left/drug effects	MESH	0.037037037037037	1	3.3670033670033668	6.0606060606060606
toll-like receptor 4/genetics	MESH	0.037037037037037	1	3.3670033670033668	6.0606060606060606
myocardial reperfusion injury/drug therapy	MESH	0.037037037037037	1	3.3670033670033668	6.0606060606060606
neutrophil infiltration	MESH	0.037037037037037	1	3.3670033670033668	6.0606060606060606
phenylenediamines/pharmacology	MESH	0.074074074074074	2	3.3670033670033668	6.0606060606060606
cyclohexylamines/pharmacology	MESH	0.074074074074074	2	3.3670033670033668	6.0606060606060606
adaptor proteins vesicular transport/genetics	MESH	0.037037037037037	1	3.3670033670033668	6.0606060606060606
myocardium/immunology	MESH	0.037037037037037	1	3.3670033670033668	6.0606060606060606
inflammation/drug therapy	MESH	0.037037037037037	1	3.3670033670033668	6.0606060606060606
neutrophils/immunology	MESH	0.037037037037037	1	3.3670033670033668	6.0606060606060606
