entity	category	node_weight	occurrence	repGM	repGT
acetaminophen/pharmacology	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
brain neoplasms/genetics	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
cation transport proteins/genetics	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
gene expression regulation neoplastic	MESH	0.0606060606060606	2	3.3588779532026596	93.93939393939394
glioblastoma/genetics	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
heat-shock proteins/genetics	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
hyaluronan receptors/genetics	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
t-lymphocytes cytotoxic/immunology	MESH	0.0606060606060606	2	3.3588779532026596	93.93939393939394
antioxidants/pharmacology	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
cell proliferation/drug effects	MESH	0.0606060606060606	2	3.3588779532026596	93.93939393939394
cystine/antagonists &amp; inhibitors	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
folic acid antagonists/pharmacology	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
methotrexate/pharmacology	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
oxidative stress	MESH	0.0606060606060606	2	3.3588779532026596	93.93939393939394
phospholipid hydroperoxide glutathione peroxidase/antagonists &amp; inhibitors	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
tetrahydrofolate dehydrogenase/genetics	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
vitamin e/pharmacology	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
piperazines/pharmacology	MESH	0.0606060606060606	2	3.3588779532026596	93.93939393939394
mutation	MESH	0.0606060606060606	2	3.3588779532026596	93.93939393939394
tumor microenvironment/immunology	MESH	0.0606060606060606	2	3.3588779532026596	93.93939393939394
carcinogenesis/immunology	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
imidazoles/administration &amp; dosage	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
tumor suppressor protein p53/biosynthesis	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
piperazines/administration &amp; dosage	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
immunity innate/genetics	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
apoptosis/immunology	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
carbolines/pharmacology	MESH	0.0606060606060606	2	3.3588779532026596	93.93939393939394
dose-response relationship drug	MESH	0.0606060606060606	2	3.3588779532026596	93.93939393939394
jurkat cells	MESH	0.0606060606060606	2	3.3588779532026596	93.93939393939394
gene expression regulation neoplastic/drug effects	MESH	0.0606060606060606	2	3.3588779532026596	93.93939393939394
multiple myeloma/drug therapy	MESH	0.0606060606060606	2	3.3588779532026596	93.93939393939394
phenols/chemistry	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
aldehydes/chemistry	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
proto-oncogene proteins c-akt/metabolism	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
chemokine ccl3/genetics	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
cyclopentane monoterpenes	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
ascorbic acid/pharmacology	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
calreticulin/metabolism	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
neoplasms/diagnostic imaging	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
t-lymphocytes cytotoxic/metabolism	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
glutathione	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
iron/blood	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
kidney	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
liver/pathology	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
malondialdehyde/blood	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
phospholipid hydroperoxide glutathione peroxidase	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
spleen/pathology	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
drug resistance neoplasm/drug effects	MESH	0.0606060606060606	2	3.3588779532026596	93.93939393939394
bone marrow/drug effects	MESH	0.1212121212121212	4	3.3588779532026596	93.93939393939394
apoptosis/drug effects	MESH	0.1818181818181818	6	3.3588779532026596	93.93939393939394
multiple myeloma/genetics	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
mutant proteins/metabolism	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
osteoprotegerin/genetics	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
recombinant proteins/metabolism	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
tnf-related apoptosis-inducing ligand/genetics	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
cd8-positive t-lymphocytes/cytology	MESH	0.0909090909090909	3	3.3588779532026596	93.93939393939394
antibodies monoclonal humanized/administration &amp; dosage	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
ctla-4 antigen/metabolism	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
leukocyte common antigens/metabolism	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
lymphocytes tumor-infiltrating/immunology	MESH	0.0909090909090909	3	3.3588779532026596	93.93939393939394
melanoma/immunology	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
neoplasm metastasis	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
phenotype	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
programmed cell death 1 receptor/antagonists &amp; inhibitors	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
skin neoplasms/immunology	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
t-lymphocyte subsets/cytology	MESH	0.0303030303030303	1	3.3588779532026596	93.93939393939394
