kw1	kw2	pg	crit_p	edge_weight	inv_edge_weight	R1C1	iteration
acetaminophen/pharmacology	brain neoplasms/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0
acetaminophen/pharmacology	cation transport proteins/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0
acetaminophen/pharmacology	gene expression regulation neoplastic	1.62808224802857e-05	6.33368658790105e-05	0.074074074074074	0.491090027111315	1	0
acetaminophen/pharmacology	glioblastoma/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0
acetaminophen/pharmacology	heat-shock proteins/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0
acetaminophen/pharmacology	hyaluronan receptors/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0
acetaminophen/pharmacology	t-lymphocytes cytotoxic/immunology	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0
brain neoplasms/genetics	cation transport proteins/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0
brain neoplasms/genetics	gene expression regulation neoplastic	1.62808224802857e-05	6.33368658790105e-05	0.074074074074074	0.491090027111315	1	0
brain neoplasms/genetics	glioblastoma/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0
brain neoplasms/genetics	heat-shock proteins/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0
brain neoplasms/genetics	hyaluronan receptors/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0
brain neoplasms/genetics	t-lymphocytes cytotoxic/immunology	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0
cation transport proteins/genetics	gene expression regulation neoplastic	1.62808224802857e-05	6.33368658790105e-05	0.074074074074074	0.491090027111315	1	0
cation transport proteins/genetics	glioblastoma/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0
cation transport proteins/genetics	heat-shock proteins/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0
cation transport proteins/genetics	hyaluronan receptors/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0
cation transport proteins/genetics	t-lymphocytes cytotoxic/immunology	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0
gene expression regulation neoplastic	antioxidants/pharmacology	0.000860920973641	0.0020021417991653	0.074074074074074	0.491090027111315	1	0
gene expression regulation neoplastic	biopterins/analogs &amp; derivatives	0.000860920973641	0.0020021417991653	0.074074074074074	0.491090027111315	1	0
gene expression regulation neoplastic	carbolines/pharmacology	0.0062713289823422	0.009135490816351	0.1426690079016681	0.5011717509037003	1	1
gene expression regulation neoplastic	cell proliferation/drug effects	0.000860920973641	0.0020021417991653	0.074074074074074	0.491090027111315	1	0
gene expression regulation neoplastic	cystine/antagonists &amp; inhibitors	0.000860920973641	0.0020021417991653	0.074074074074074	0.491090027111315	1	0
gene expression regulation neoplastic	folic acid antagonists/pharmacology	0.000860920973641	0.0020021417991653	0.074074074074074	0.491090027111315	1	0
gene expression regulation neoplastic	glioblastoma/genetics	1.62808224802857e-05	6.33368658790105e-05	0.074074074074074	0.491090027111315	1	0
gene expression regulation neoplastic	heat-shock proteins/genetics	1.62808224802857e-05	6.33368658790105e-05	0.074074074074074	0.491090027111315	1	0
gene expression regulation neoplastic	hyaluronan receptors/genetics	1.62808224802857e-05	6.33368658790105e-05	0.074074074074074	0.491090027111315	1	0
gene expression regulation neoplastic	methotrexate/pharmacology	0.000860920973641	0.0020021417991653	0.074074074074074	0.491090027111315	1	0
gene expression regulation neoplastic	oxidative stress	0.0038089167063769	0.0058405019329489	0.1426690079016681	0.5011717509037003	1	1
gene expression regulation neoplastic	phospholipid hydroperoxide glutathione peroxidase/antagonists &amp; inhibitors	0.000860920973641	0.0020021417991653	0.074074074074074	0.491090027111315	1	0
gene expression regulation neoplastic	t-lymphocytes cytotoxic/immunology	1.62808224802857e-05	6.33368658790105e-05	0.074074074074074	0.491090027111315	1	0
gene expression regulation neoplastic	tetrahydrofolate dehydrogenase/genetics	0.000860920973641	0.0020021417991653	0.074074074074074	0.491090027111315	1	0
gene expression regulation neoplastic	vitamin e/pharmacology	0.000860920973641	0.0020021417991653	0.074074074074074	0.491090027111315	1	0
gene expression regulation neoplastic	jurkat cells	0.0035436383975111	0.0056105293672193	0.1233365790327815	0.5839154963972442	1	2
glioblastoma/genetics	heat-shock proteins/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0
glioblastoma/genetics	hyaluronan receptors/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0
glioblastoma/genetics	t-lymphocytes cytotoxic/immunology	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0
heat-shock proteins/genetics	hyaluronan receptors/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0
heat-shock proteins/genetics	t-lymphocytes cytotoxic/immunology	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0
hyaluronan receptors/genetics	t-lymphocytes cytotoxic/immunology	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0
antioxidants/pharmacology	reactive oxygen species/metabolism	0.0047751294388702	0.0071792222967029	0.1029411764705882	0.5011717509037003	1	1
antioxidants/pharmacology	jurkat cells	0.0012969225227602	0.0028666732591499	0.074074074074074	0.491090027111315	1	0
antioxidants/pharmacology	biopterins/analogs &amp; derivatives	1.90229000622821e-05	6.33368658790105e-05	0.037037037037037	0.491090027111315	1	0
antioxidants/pharmacology	carbolines/pharmacology	0.0010636503730522	0.0023691137341409	0.074074074074074	0.491090027111315	1	0
antioxidants/pharmacology	cell proliferation/drug effects	1.90229000622821e-05	6.33368658790105e-05	0.037037037037037	0.491090027111315	1	0
