"entity"	"membership"
"acetaminophen/pharmacology"	1
"brain neoplasms/genetics"	1
"cation transport proteins/genetics"	1
"CD44"	1
"colorectal neoplasms/metabolism"	1
"glioblastoma/genetics"	1
"heat-shock proteins/genetics"	1
"HSPB1"	1
"hyaluronan receptors/genetics"	1
"hyperlipidemias"	1
"lipoproteins ldl"	1
"mannose receptor"	1
"nitric oxide synthase type ii/metabolism"	1
"PROM1"	1
"scavenger receptors class e/genetics"	1
"SLC40A1"	1
"t-lymphocytes cytotoxic/immunology"	1
"ACSL3"	2
"actins/metabolism"	2
"aging/metabolism"	2
"amino acid transport system y+/metabolism"	2
"antioxidants/metabolism"	2
"ATP8A2"	2
"b-lymphocytes/metabolism"	2
"BBS9"	2
"BDKRB2"	2
"cartilage articular/drug effects"	2
"cell line"	2
"cell survival"	2
"chalcones/toxicity"	2
"chemical and drug induced liver injury/metabolism"	2
"chondrocytes/drug effects"	2
"coenzyme a ligases/metabolism"	2
"collagen type i/metabolism"	2
"cystine/metabolism"	2
"cytoskeletal proteins/metabolism"	2
"diabetic nephropathies/drug therapy"	2
"embryo nonmammalian/drug effects"	2
"ferritins/blood"	2
"FN1"	2
"folic acid/pharmacology"	2
"FUT1"	2
"genetic variation"	2
"glutathione peroxidase/therapeutic use"	2
"glutathione/metabolism"	2
"GPX4"	2
"hemeproteins/toxicity"	2
"hepatic stellate cells/drug effects"	2
"hepatocytes/drug effects"	2
"HIF1A"	2
"host-pathogen interactions"	2
"hypoxia-inducible factor 1 alpha subunit/metabolism"	2
"iron chelating agents/pharmacology"	2
"iron/metabolism"	2
"kidney/drug effects"	2
"listeriosis/etiology"	2
"liver cirrhosis/drug therapy"	2
"liver x receptors/agonists"	2
"LPO"	2
"lymph/metabolism"	2
"macrophages/drug effects"	2
"malaria/genetics"	2
"melanoma/blood"	2
"membrane potential mitochondrial/drug effects"	2
"MMRN1"	2
"MS4A1"	2
"neoplasm metastasis/drug therapy"	2
"neurons/drug effects"	2
"neurons/metabolism"	2
"oleic acid/metabolism"	2
"organometallic compounds/toxicity"	2
"oxidative stress/drug effects"	2
"phospholipid hydroperoxide glutathione peroxidase/metabolism"	2
"PLEKHM1"	2
"polysaccharides/pharmacology"	2
"receptors transferrin/metabolism"	2
"ROS1"	2
"selenomethionine/pharmacology"	2
"SLC7A11"	2
"sorafenib/pharmacology"	2
"SPANXB1"	2
"spiral ganglion/drug effects"	2
"t-2 toxin/toxicity"	2
"TF"	2
"TFRC"	2
"transferrin/metabolism"	2
"tuberculosis/metabolism"	2
"tumor suppressor protein p53/genetics"	2
"ACSL4"	3
"cyclohexylamines"	3
"drugs chinese herbal/pharmacology"	3
"hydrogen peroxide"	3
"leydig cells/metabolism"	3
"malondialdehyde/metabolism"	3
"phenylenediamines"	3
"superoxide dismutase/metabolism"	3
"testosterone"	3
"TPM3"	3
"adaptor proteins vesicular transport/genetics"	4
"cyclohexylamines/pharmacology"	4
"endometrial neoplasms/immunology"	4
"heme/metabolism"	4
"IFNA1"	4
"inflammation/drug therapy"	4
"interferon type i/metabolism"	4
"myocardial reperfusion injury/drug therapy"	4
"myocardium/immunology"	4
"neutrophil infiltration"	4
"neutrophils/immunology"	4
"phagocytosis"	4
"phenylenediamines/pharmacology"	4
"TICAM1"	4
"TLR4"	4
"toll-like receptor 4/genetics"	4
"TRIM69"	4
"ventricular function left/drug effects"	4
"adjuvants immunologic/chemistry"	5
"anti-inflammatory agents/pharmacology"	5
"calgranulin a/metabolism"	5
"carcinoma hepatocellular/drug therapy"	5
"cd36 antigens/metabolism"	5
"CHRM1"	5
"colon/metabolism"	5
"dextrans/chemistry"	5
"diet high-fat"	5
"digestion"	5
"gastrointestinal tract"	5
"gels/chemistry"	5
"glycyrrhizic acid/pharmacology"	5
"gold/chemistry"	5
"IL17A"	5
"IRF6"	5
"macrophages/immunology"	5
"MRLN"	5
"nf-kappa b/metabolism"	5
"NFKB1"	5
"phenotype"	5
"plant extracts/pharmacology"	5
"protease inhibitors/pharmacology"	5
"rna messenger/metabolism"	5
"S100A8"	5
"stem cell factor/metabolism"	5
"tumor microenvironment/physiology"	5
"urinary bladder neoplasms/pathology"	5
"AIFM2"	6
"antineoplastic agents/pharmacology"	6
"ATG5"	6
"ATL1"	6
"autophagy-related proteins/genetics"	6
"autophagy/drug effects"	6
"basic-leucine zipper transcription factors/analysis"	6
"breast neoplasms/drug therapy"	6
"cd8-positive t-lymphocytes/drug effects"	6
"cell cycle/drug effects"	6
"drug resistance neoplasm"	6
"EEF1A2"	6
"endoplasmic reticulum/drug effects"	6
"flavonolignans/pharmacology"	6
"GGT1"	6
"glutathione peroxidase/metabolism"	6
"HLF"	6
"hydroxymethylglutaryl-coa reductase inhibitors/pharmacology"	6
"IL6"	6
"inflammation/immunology"	6
"JAK2"	6
"macrophage colony-stimulating factor/antagonists &amp; inhibitors"	6
"mesenchymal stem cells/immunology"	6
"neoplasm invasiveness"	6
"neoplasm recurrence local"	6
"precursor cell lymphoblastic leukemia-lymphoma/metabolism"	6
"raw 264.7 cells"	6
"S100A4"	6
"SMAD3"	6
"STAT3"	6
"TGFB1"	6
"triple negative breast neoplasms/drug therapy"	6
"tumor-associated macrophages/drug effects"	6
"aniline compounds/pharmacology"	7
"APEX1"	7
"ASAH2"	7
"asparaginase"	7
"ASPG"	7
"b7-h1 antigen/antagonists &amp; inhibitors"	7
"benzylidene compounds/pharmacology"	7
"CCK"	7
"cell line tumor/transplantation"	7
"cisplatin"	7
"colonic neoplasms/drug therapy"	7
"diterpenes/pharmacology"	7
"dna-(apurinic or apyrimidinic site) lyase/metabolism"	7
"drug resistance neoplasm/drug effects"	7
"exosomes/drug effects"	7
"heme oxygenase-1/metabolism"	7
"HMOX1"	7
"hyaluronic acid/chemistry"	7
"immune checkpoint inhibitors/pharmacology"	7
"immunologic memory"	7
"killer cells natural/metabolism"	7
"lymphocytes tumor-infiltrating/immunology"	7
"lymphoma t-cell"	7
"membrane proteins/metabolism"	7
"myeloid-derived suppressor cells/immunology"	7
"neutral ceramidase/antagonists &amp; inhibitors"	7
"NLRP1"	7
"reactive oxygen species/metabolism"	7
"skin neoplasms/drug therapy"	7
"t-lymphocytes cytotoxic/drug effects"	7
"t-lymphocytes/immunology"	7
"TP53"	7
"tumor escape/drug effects"	7
"tumor microenvironment/drug effects"	7
"tumor suppressor protein p53/metabolism"	7
"XK"	7
"amino acid transport system y+/genetics"	8
"antibodies monoclonal humanized/pharmacology"	8
