entity	category	node_weight	occurrence
sp1 transcription factor/metabolism	MESH	0.0277777777777777	1
dna neoplasm/metabolism	MESH	0.0277777777777777	1
HDAC6	GENE	0.0277777777777777	1
cell cycle proteins	MESH	0.0277777777777777	1
nuclear proteins/metabolism	MESH	0.0277777777777777	1
azepines/pharmacology	MESH	0.0277777777777777	1
SP1	GENE	0.0277777777777777	1
BRD4	GENE	0.0277777777777777	1
SESN3	GENE	0.0277777777777777	1
prostatic neoplasms/genetics	MESH	0.0277777777777777	1
protoporphyrins/pharmacology	MESH	0.0277777777777777	1
triazoles/pharmacology	MESH	0.0277777777777777	1
