kw1	kw2	crit_p	iteration	pg	edge_weight	R1C1	inv_edge_weight
CTLA4	BTRC	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
CTLA4	lung neoplasms/drug therapy	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
CTLA4	nf-e2-related factor 2/genetics	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
CTLA4	tor serine-threonine kinases/metabolism	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
CTLA4	glycogen synthase kinase 3/metabolism	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
CTLA4	allografts	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
CTLA4	iron/chemistry	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
CTLA4	GABPA	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
CTLA4	GSK3B	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
CTLA4	MTOR	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
CTLA4	PRKAA2	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
tor serine-threonine kinases/metabolism	BTRC	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
tor serine-threonine kinases/metabolism	GABPA	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
tor serine-threonine kinases/metabolism	GSK3B	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
tor serine-threonine kinases/metabolism	MTOR	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
tor serine-threonine kinases/metabolism	PRKAA2	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
tor serine-threonine kinases/metabolism	lung neoplasms/drug therapy	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
tor serine-threonine kinases/metabolism	nf-e2-related factor 2/genetics	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
