entity	category	node_weight	occurrence	repGM	repGT
inflammation/drug therapy	MESH	0.037037037037037	1	3.7037037037037033	6.666666666666667
phenylenediamines/pharmacology	MESH	0.074074074074074	2	3.7037037037037033	6.666666666666667
neutrophils/immunology	MESH	0.037037037037037	1	3.7037037037037033	6.666666666666667
myocardium/immunology	MESH	0.037037037037037	1	3.7037037037037033	6.666666666666667
adaptor proteins vesicular transport/genetics	MESH	0.037037037037037	1	3.7037037037037033	6.666666666666667
ventricular function left/drug effects	MESH	0.037037037037037	1	3.7037037037037033	6.666666666666667
neutrophil infiltration	MESH	0.037037037037037	1	3.7037037037037033	6.666666666666667
toll-like receptor 4/genetics	MESH	0.037037037037037	1	3.7037037037037033	6.666666666666667
cyclohexylamines/pharmacology	MESH	0.074074074074074	2	3.7037037037037033	6.666666666666667
myocardial reperfusion injury/drug therapy	MESH	0.037037037037037	1	3.7037037037037033	6.666666666666667
