entity	category	node_weight	occurrence	repGM	repGT
MMP9	GENE	0.0093457943925233	2	0.6916671751432923	81.77570093457945
GSK3B	GENE	0.02803738317757	6	0.6916671751432923	81.77570093457945
IL6	GENE	0.0467289719626168	10	0.6916671751432923	81.77570093457945
TGFB1	GENE	0.0327102803738317	7	0.6916671751432923	81.77570093457945
CXCL8	GENE	0.0327102803738317	7	0.6916671751432923	81.77570093457945
ITK	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
MMP2	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
MYD88	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
TRAF6	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
NFKB1	GENE	0.0327102803738317	7	0.6916671751432923	81.77570093457945
XIAP	GENE	0.014018691588785	3	0.6916671751432923	81.77570093457945
BIRC5	GENE	0.014018691588785	3	0.6916671751432923	81.77570093457945
TLR4	GENE	0.014018691588785	3	0.6916671751432923	81.77570093457945
CXCL12	GENE	0.0327102803738317	7	0.6916671751432923	81.77570093457945
CASP3	GENE	0.1121495327102803	24	0.6916671751432923	81.77570093457945
AIFM1	GENE	0.0186915887850467	4	0.6916671751432923	81.77570093457945
TNFRSF10D	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
TCIM	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
CD8A	GENE	0.0327102803738317	7	0.6916671751432923	81.77570093457945
ARG1	GENE	0.0093457943925233	2	0.6916671751432923	81.77570093457945
IL10	GENE	0.0467289719626168	10	0.6916671751432923	81.77570093457945
DIABLO	GENE	0.02803738317757	6	0.6916671751432923	81.77570093457945
CCL27	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
CCR10	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
NFE2L2	GENE	0.0186915887850467	4	0.6916671751432923	81.77570093457945
HMOX1	GENE	0.0093457943925233	2	0.6916671751432923	81.77570093457945
PDCD1	GENE	0.0233644859813084	5	0.6916671751432923	81.77570093457945
BTRC	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
CTLA4	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
GABPA	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
MTOR	GENE	0.3785046728971962	81	0.6916671751432923	81.77570093457945
PRKAA2	GENE	0.0186915887850467	4	0.6916671751432923	81.77570093457945
CDH1	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
CDH2	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
ABCC9	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
S100A4	GENE	0.037037037037037	1	0.6916671751432923	81.77570093457945
ACSL4	GENE	0.0093457943925233	2	0.6916671751432923	81.77570093457945
AIFM2	GENE	0.037037037037037	1	0.6916671751432923	81.77570093457945
ATL1	GENE	0.037037037037037	1	0.6916671751432923	81.77570093457945
NCOA4	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
FTH1	GENE	0.0186915887850467	4	0.6916671751432923	81.77570093457945
KDM8	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
GPX4	GENE	0.0560747663551401	12	0.6916671751432923	81.77570093457945
STING1	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
SOCS5	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
GGT1	GENE	0.037037037037037	1	0.6916671751432923	81.77570093457945
HLF	GENE	0.037037037037037	1	0.6916671751432923	81.77570093457945
JAK2	GENE	0.037037037037037	1	0.6916671751432923	81.77570093457945
STAT3	GENE	0.037037037037037	1	0.6916671751432923	81.77570093457945
PRF1	GENE	0.0093457943925233	2	0.6916671751432923	81.77570093457945
TF	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
TP53	GENE	0.0373831775700934	8	0.6916671751432923	81.77570093457945
CXCR1	GENE	0.0093457943925233	2	0.6916671751432923	81.77570093457945
CCL21	GENE	0.0093457943925233	2	0.6916671751432923	81.77570093457945
MSC	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
CSF2	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
CSF1	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
AKT1	GENE	0.3785046728971962	81	0.6916671751432923	81.77570093457945
IL4	GENE	0.0327102803738317	7	0.6916671751432923	81.77570093457945
HIF1A	GENE	0.0186915887850467	4	0.6916671751432923	81.77570093457945
EGFR	GENE	0.0186915887850467	4	0.6916671751432923	81.77570093457945
MAPK14	GENE	0.0093457943925233	2	0.6916671751432923	81.77570093457945
MDM2	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
METTL7B	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
TP73	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
CDKN1A	GENE	0.0046728971962616	1	0.6916671751432923	81.77570093457945
