kw1	kw2	inv_edge_weight	iteration	crit_p	R1C1	pg	edge_weight
porphyrins/pharmacology	apoptosis	0.6084573436328657	1	2.4117545523724554e-05	1	1.340591167975358e-05	0.115901933426357
porphyrins/pharmacology	esters	0.6084573436328657	1	0.0	1	0.0	0.0171428571428598
porphyrins/pharmacology	cell line tumor	0.1066711817498276	1	0.0016591805418634	3	0.0011064540325428	0.0497508471198012
porphyrins/pharmacology	iron	0.6084573436328657	1	7.751147680508629e-08	1	3.3833818080530875e-08	0.0673937184999635
porphyrins/pharmacology	bone neoplasms/drug therapy	0.6084573436328657	1	0.0	1	0.0	0.0171428571428598
porphyrins/pharmacology	ferric compounds	0.6084573436328657	1	1.6156823638687912e-12	1	4.894973315572315e-13	0.0340886699507466
porphyrins/pharmacology	tissue distribution	0.6084573436328657	1	3.4070987671667785e-06	1	1.7335263712281446e-06	0.0837552322105103
porphyrins/pharmacology	neoplasms/diagnostic imaging	0.6084573436328657	1	1.4519676391317411e-09	1	5.368411271078344e-10	0.0673937184999635
porphyrins/pharmacology	photosensitizing agents/pharmacology	0.284910593826126	1	1.0560133734127677e-08	2	4.141228915344186e-09	0.0196531791907552
porphyrins/pharmacology	ferroptosis	0.1066711817498276	1	1.224191392704198e-08	3	4.810598253079945e-09	0.0130755431532818
porphyrins/pharmacology	osteosarcoma/drug therapy	0.6084573436328657	1	0.0	1	0.0	0.0171428571428598
porphyrins/pharmacology	ferritins	0.6084573436328657	1	0.0	1	0.0	0.0171428571428598
porphyrins/pharmacology	photosensitizing agents/therapeutic use	0.6084573436328657	1	1.0218842358135896e-08	1	4.0043065530070984e-09	0.0673937184999635
porphyrins/pharmacology	SDHD	0.6084573436328657	1	0.0	1	0.0	0.0171428571428598
apoptosis	esters	0.6084573436328657	1	9.218274883554625e-14	1	2.4646951146678475e-14	0.0400000000000063
apoptosis	carcinoma hepatocellular/drug therapy	0.6084573436328657	1	0.0094759822040964	1	0.0070167051735511	0.2200938252330988
apoptosis	cell line tumor	0.0086865126117781	1	0.0043409924042442	5	0.0030729599322151	0.0671417024272603
apoptosis	sorafenib/pharmacology	0.6084573436328657	1	4.723753950497888e-06	1	2.435262594691068e-06	0.0786206896551817
apoptosis	doxorubicin	0.6084573436328657	1	1.6604228876637302e-08	1	6.623325887744613e-09	0.0786206896551817
apoptosis	pancreatic neoplasms/drug therapy	0.6084573436328657	1	0.000162625503631	1	9.752624471148774e-05	0.0786206896551817
apoptosis	hemin/pharmacology	0.6084573436328657	1	1.839623203053092e-07	1	8.251944805248712e-08	0.0786206896551817
apoptosis	mitochondria	0.6084573436328657	1	5.498219580354272e-10	1	1.969296947734733e-10	0.0786206896551817
apoptosis	glutathione	0.6084573436328657	1	1.4780582041255735e-05	1	8.027141639499469e-06	0.1518826686938935
apoptosis	bone neoplasms/drug therapy	0.6084573436328657	1	9.218274883554625e-14	1	2.4646951146678475e-14	0.0400000000000063
apoptosis	oxides	0.6084573436328657	1	5.909611063266692e-08	1	2.572418933421972e-08	0.0786206896551817
apoptosis	manganese compounds	0.6084573436328657	1	0.0	1	0.0	0.0400000000000063
apoptosis	coordination complexes/pharmacology	0.6084573436328657	1	9.866995513759769e-16	1	2.220446049250313e-16	0.0400000000000063
apoptosis	tissue distribution	0.6084573436328657	1	0.0049767839817629	1	0.0035510567254489	0.1866009220222512
